,0
BUYIN_PRICE,0.01332736
REBUY_PRICE,0.014865191
ADDON_PRICE,0.014578894
GTD_MATCH,0.011021489
MATCH_TYPE_DETAIL_NAME_MTT-NLH,0.37528622
MATCH_TYPE_DETAIL_NAME_MTT-PLO4,0.018065153
MATCH_TYPE_DETAIL_NAME_MTT-PLO5,0.045168184
MATCH_TYPE_DETAIL_NAME_MTT-PLO6,0.009014688
CLASS_MATCH_High,0.007758318
CLASS_MATCH_Low,0.024449067
CLASS_MATCH_Medium,0.00761319
CLASS_MATCH_Micro,0.011753795
DAY_OF_WEEK_friday,0.013736119
DAY_OF_WEEK_monday,0.008582979
DAY_OF_WEEK_saturday,0.015065585
DAY_OF_WEEK_sunday,0.011283453
DAY_OF_WEEK_thursday,0.0070712245
DAY_OF_WEEK_tuesday,0.007455661
DAY_OF_WEEK_wednesday,0.011766981
PERIOD_afternoon,0.025062786
PERIOD_dawn,0.31177142
PERIOD_evening,0.018886456
PERIOD_morning,0.016415838
